"","countryCode","stateProvince","individualCount","Latitude","Longitude","year","day","month","year_1","X10"
"21864","US","Minnesota",1,45.101994,-94.28163,2019-05-20,20,5,2019,NA
"21865","US","Minnesota",2,44.818844,-93.30753,2019-05-16,16,5,2019,NA
"21866","BZ","Toledo",1,16.165283,-88.80805,2019-10-22,22,10,2019,NA
"21867","US","New York",1,41.3012,-73.98696,2018-05-22,22,5,2018,NA
"21868","US","Minnesota",2,45.84266,-92.94922,2018-05-15,15,5,2018,NA
"21869","US","Minnesota",1,44.09434,-93.06315,2018-05-13,13,5,2018,NA
"21870","US","Texas",2,29.698408,-93.94818,2019-04-25,25,4,2019,NA
"21871","US","Texas",1,29.556488,-94.39253,2019-04-19,19,4,2019,NA
"21872","US","Virginia",1,38.2574,-79.63814,2019-05-23,23,5,2019,NA
"21873","US","Texas",1,29.698408,-93.94818,2019-04-27,27,4,2019,NA
"21874","CR","Alajuela",1,10.170486,-84.55466,2018-12-16,16,12,2018,NA
"21875","CR","San José",1,9.333303,-83.62673,2019-02-15,15,2,2019,NA
"21876","CA","Ontario",1,43.64755,-79.32997,2019-05-15,15,5,2019,NA
"21877","US","Alabama",2,33.558746,-86.68881,2018-09-18,18,9,2018,NA
"21878","CR","Cartago",3,9.841766,-83.84871,2018-12-02,2,12,2018,NA
"21879","CR","Alajuela",1,10.204856,-84.176445,2019-10-13,13,10,2019,NA
"21880","US","Illinois",1,41.963383,-87.63442,2018-05-05,5,5,2018,NA
"21881","NI","Jinotega",2,13.247583,-86.14243,2018-01-24,24,1,2018,NA
"21882","US","Missouri",2,38.92877,-92.31713,2018-05-05,5,5,2018,NA
"21883","US","Wisconsin",1,45.80585,-92.65069,2019-05-24,24,5,2019,NA
"21884","US","Wisconsin",2,44.88914,-91.91257,2019-05-14,14,5,2019,NA
"21885","US","Arkansas",1,36.348843,-91.787125,2018-05-05,5,5,2018,NA
"21886","US","Minnesota",2,47.07579,-92.66228,2019-06-20,20,6,2019,NA
"21887","US","Missouri",1,38.56159,-90.26539,2018-05-01,1,5,2018,NA
"21888","US","Ohio",1,41.54381,-83.84007,2018-05-12,12,5,2018,NA
"21889","CR","Puntarenas",1,10.313256,-84.82373,2018-02-02,2,2,2018,NA
"21890","US","Illinois",1,42.1884,-88.0138,2018-09-05,5,9,2018,NA
"21891","CR","Puntarenas",1,8.9312,-82.78198,2018-12-16,16,12,2018,NA
"21892","US","New Jersey",1,41.069817,-74.451225,2019-05-16,16,5,2019,NA
"21893","US","Florida",1,26.45206,-82.01513,2019-04-20,20,4,2019,NA
"21894","US","Wisconsin",1,43.047077,-89.42587,2019-05-14,14,5,2019,NA
"21895","US","Arkansas",1,36.123734,-92.549515,2019-05-05,5,5,2019,NA
"21896","US","West Virginia",1,38.5367,-79.5168,2018-05-10,10,5,2018,NA
"21897","US","Michigan",1,41.777008,-86.663994,2019-05-18,18,5,2019,NA
"21898","CR","Puntarenas",1,8.786986,-82.95762,2019-02-24,24,2,2019,NA
"21899","US","Ohio",1,41.62771,-83.19189,2018-05-10,10,5,2018,NA
"21900","CR","San José",1,9.640791,-83.91189,2019-01-03,3,1,2019,NA
"21901","US","Wisconsin",3,45.737247,-91.65257,2018-05-25,25,5,2018,NA
"21902","CA","Saskatchewan",1,50.37432,-102.57906,2018-09-19,19,9,2018,NA
"21903","NI","Jinotega",2,13.252749,-85.66404,2018-03-01,1,3,2018,NA
"21904","CR","Puntarenas",1,10.305673,-84.78905,2019-01-24,24,1,2019,NA
"21905","US","Kansas",1,38.96358,-94.843254,2018-05-09,9,5,2018,NA
"21906","CA","Ontario",1,44.5042,-76.57952,2019-05-19,19,5,2019,NA
"21907","US","Louisiana",1,32.527332,-92.56969,2018-04-27,27,4,2018,NA
"21908","US","Florida",1,26.478199,-80.14474,2019-03-11,11,3,2019,NA
"21909","US","Texas",2,29.57368,-94.389854,2018-04-25,25,4,2018,NA
"21910","CR","Cartago",2,9.93333,-83.71194,2019-01-15,15,1,2019,NA
"21911","CA","Ontario",1,44.436108,-75.98187,2019-05-19,19,5,2019,NA
"21912","US","Indiana",1,37.962486,-87.512955,2019-09-20,20,9,2019,NA
"21913","US","Kentucky",1,38.21585,-85.72851,2018-09-29,29,9,2018,NA
"21914","US","Alabama",1,34.743164,-86.51098,2019-09-20,20,9,2019,NA
"21915","NI","Jinotega",1,13.234552,-86.05367,2018-01-03,3,1,2018,NA
"21916","CA","Ontario",1,44.65521,-79.02474,2018-06-09,9,6,2018,NA
"21917","US","North Carolina",1,35.35778,-83.71861,2019-04-30,30,4,2019,NA
"21918","US","Missouri",3,38.7413,-92.0317,2019-05-05,5,5,2019,NA
"21919","PA","Chiriquí",1,8.831201,-82.48269,2018-12-15,15,12,2018,NA
"21920","PA","Panamá",1,8.994999,-79.54593,2019-03-23,23,3,2019,NA
"21921","US","Wisconsin",1,42.918015,-87.84365,2019-05-10,10,5,2019,NA
"21922","US","Wisconsin",1,43.6237,-88.67391,2018-05-14,14,5,2018,NA
"21923","CR","Alajuela",1,10.379206,-84.37662,2018-11-18,18,11,2018,NA
"21924","US","Minnesota",1,43.91794,-92.57563,2019-08-30,30,8,2019,NA
"21925","US","Missouri",1,38.536392,-90.5338,2018-09-19,19,9,2018,NA
"21926","US","Wisconsin",1,44.695316,-91.480835,2018-05-10,10,5,2018,NA
